A0001,MTBF,平均故障時間,0,0
A0002,MTTR,平均復旧時間,0,0
A0003,スーパスカラ,複数のパイプライン処理を行う。,CPUの高速化技術,0
A0004,パイプライン処理,命令実行サイクルをステージ単位にわけ、サイクルが終わる前に平行して命令を実行する。,CPUの高速化技術,0
A0005,逐次制御方式,命令サイクルを１つずつ順番に処理していく。,CPUの高速化技術,0
A0006,スーパパイプライン,パイプライン命令の1ステージを更に細分化し、ステージ内の処理を並列化して高速処理する。,CPUの高速化技術,0
A0007,オペランド,CPUが処理する変数や定数,CPU,0
A0008,フェッチ,命令を主記憶から取り出しCPUのレジスタに格納する,CPU,0
A0009,実行アドレス計算,命令の対処になるオペランドの格納場所を計算して求める。,CPU,0
A0010,アドレス指定方式,オペランドが格納されているアドレスを指定する方法。即値アドレス指定方式や間接アドレス指定方式などがある。,CPU,0
A0011,即値アドレス指定方式,フェッチのアドレス部にそのままオペランドが格納されている方式,CPU,0
A0012,直接アドレス指定方式,フェッチのアドレス部にオペランドが格納されているアドレスが格納されている方式,CPU,0
A0013,間接アドレス方式,フェッチのアドレス部で指定された番地に、更にオペランドが格納されているアドレスが記載されている方式。,CPU,0
A0014,指標アドレス指定方式,フェッチのアドレス部に指標アドレス番号とアドレス定数が記載されている。指標アドレスのオペランドにアドレス定数を加算した値が、オペランドが格納されているアドレスになる。,CPU,0
A0015,CPUの投機実行,分岐命令の分岐先が決まる前に次にどの命令が実行されるか予測し、命令を実行する。,CPUの高速化技術,0
A0016,DRAM,主記憶で使われる。コンデンサで記憶。定期的にリフレッシュが必要。,メモリ,0
A0017,SRAM,キャッシュで使われる。フリップフロップで構成。リフレッシュ不要。容量は少ない,メモリ,0
A0018,実行アクセス時間,実行アクセス時間＝キャッシュメモリのアクセス時間×ヒット率＋主記憶のアクセス時間×（1-ヒット率),メモリ,0
A0019,ライトスルー方式,キャッシュと主記憶に同時に書き込み,メモリ,0
A0020,ライトバック方式,キャッシュメモリにかきこみ、データがキャッシュから追い出されるときに主記憶に書き込まれる。,メモリ,0
A0021,メモリインタリーブ方式,主記憶を複数のバンクに分けて、同時並行でアクセスできるようにする高速化技術。,メモリ,0
A0022,磁気ディスクのアクセス時間,シーク時間＋回転待ち時間（１／２回転時間）＋データ転送時間,補助記憶装置,0
A0023,IrDA,赤外線を使ってデータを転送する。携帯電話のデータ転送などに使われる。,入力装置,0
A0024,API,アプリケーションからOSの各種機能を利用する仕組み,ソフトウェア,0
A0025,ミドルウェア,応用ソフトウェアと基本ソフトウェアの中間に位置し、応用ソフトウェアに専門的な機能を提供するソフトウェア,ソフトウェア,0
A0026,応用ソフトウェア,基本ソフトウェア（OS）上で利用するアプリケーション,ソフトウェア,0
A0027,基本ソフトウェア,OS。コンピュータを動作させるためのさまざまな機能を提供する。,ソフトウェア,0
A0028,制御プログラム,コンピュータのハードやソフトを制御するソフトウェア。ジョブ管理やタスク管理など。,ソフトウェア,0
A0029,言語プロセッサ,JAVAやCなどの言語で書かれたコードを機械語に変換するソフトウェア。,ソフトウェア,0
A0030,OSの役割,ハードウェアの管理、ファイルの管理、周辺機器の管理。,ソフトウェア,0
A0031,デバイスドライバ,アプリケーションの欲求にしたがってハードウェアを直接操作できるようにする。,ソフトウェア,0
A0032,プリエンプティブなマルチタスク,ハードウェアタイマを用いてOSが強制的に複数のアプリケーションを切替る方式。アプリケーションは他のアプリケーションの影響をまったくうけることなく処理が行える。,ソフトウェア,0
A0033,スプーリング,出力データを補助記憶装置に格納し、印刷などの出力待ち時間を減らす。,ソフトウェア,0
A0034,内部割込み,タスク切替の際、タスク自身でタスク切替を行う処理。プログラム割り込みや、SVC割り込みなどがある。,ソフトウェア,0
A0035,外部割込み,タスク切替の際、タスク自身に起因しない理由でタスク切替を行う処理。マシンチェック割り込みや、入出力割込み、タイマ割り込みなどがある。,ソフトウェア,0
A0036,プログラム割込み。,内部割込み。桁あふれやゼロ除算などのプログラムエラーによる割り込み。,ソフトウェア,0
A0037,SVC割込み,内部割込み。プログラム内部から入出力装置を使うときなど、SVC（SuperVisor Call）を呼び出すときに発生する割込み,ソフトウェア,0
A0038,マシンチェック割込み,外部割込み。ハードウェアの誤動作や故障で発生する割り込み。,ソフトウェア,0
A0039,入出力割込み,外部割込み。入出力動作が終了したときに発生する割込み。,ソフトウェア,0
A0040,タイマ割込み,外部割込み。タスクに割当られたタイマを超えると発生する割込み,ソフトウェア,0
A0041,実記憶管理,主記憶の容量を効果的に利用するための方法。区画方式、スワッピング方式など,ソフトウェア,0
A0042,区画方式,記憶管理の実記憶管理方式。主記憶をいくつかの区画に分割して、プログラムに割り当てる方法。固定区画方式や可変区画方式がある。,ソフトウェア,0
A0043,仮想記憶管理,補助記憶の一部を主記憶を使っているかのように見せかける方法。ページング方式。,ソフトウェア,0
A0044,ページング方式,仮想記憶管理。主記憶と補助記憶をそれぞれ決まった大きさのページに分割し、対応づけて管理する方法。,ソフトウェア,0
A0045,セグメント方式,仮想記憶管理。主記憶と補助記憶間で、データをページに分割せずデータを行ききさせる方式。,ソフトウェア,0
A0046,メモリリーク,バグに起因して動作中に確保した主記憶が開放されないこと。メモリリークが発生すると主記憶の中の利用可能な部分が減少する。,ソフトウェア,0
A0047,NOT,否定。真のときに偽。偽のときに真。,データ,0
A0048,OR,論理和。どちらかが真のときに真。,データ,0
A0049,AND,論理積。真+真のときに真。,データ,0
A0050,XOR,排他的論理和。真+偽のときに真。,データ,0
A0051,NOR,否定論理和。偽+偽のときに真。,データ,0
A0052,NAND,否定論理積。真+真のとき以外、真。,データ,0
A0053,ホワイトボックステスト,一つ一つの処理が正しく動作しているかのテスト。ホワイトボックステストのテストケースは命令網羅、判定条件網羅、条件網羅、複数条件網羅。,システム開発,0
A0054,3層スキーマアーキテクチャ,DBMSの基本的な構造を３つの層で定義したもの。外部スキーマ、概念スキーマ、内部スキーマ。,DB,0
A0055,ACID特性,DBMSのトランザクション処理で、データの一貫性を保つための特性。Atomicity(原子性)、Consistency(一貫性)、Isolation(独立性)、Durability(永続性)の4つの要素,DB,0